iter	Passed	Remaining
751	9492	3130
752	9508	3118
753	9519	3105
754	9531	3093
755	9543	3080
756	9555	3067
757	9566	3054
758	9578	3041
759	9590	3028
760	9602	3015
761	9613	3002
762	9625	2989
763	9637	2976
764	9648	2963
765	9659	2950
766	9672	2938
767	9686	2926
768	9700	2914
769	9715	2902
770	9732	2890
771	9748	2879
772	9765	2867
773	9781	2856
774	9800	2845
775	9817	2833
776	9832	2821
777	9849	2810
778	9865	2798
779	9879	2786
780	9892	2773
781	9903	2760
782	9915	2747
783	9926	2734
784	9937	2721
785	9948	2708
786	9959	2695
787	9970	2682
788	9981	2669
789	9992	2656
790	10003	2643
791	10015	2630
792	10026	2617
793	10037	2604
794	10049	2591
795	10061	2578
796	10076	2566
797	10092	2554
798	10107	2542
799	10122	2530
800	10138	2518
801	10153	2506
802	10169	2494
803	10184	2482
804	10199	2470
805	10215	2458
806	10230	2446
807	10245	2434
808	10261	2422
809	10276	2410
810	10288	2397
811	10300	2384
812	10312	2371
813	10324	2359
814	10335	2346
815	10347	2333
816	10358	2320
817	10369	2307
818	10381	2294
819	10392	2281
820	10403	2268
821	10415	2255
822	10426	2242
823	10437	2229
824	10448	2216
825	10459	2203
826	10471	2190
827	10482	2177
828	10493	2164
829	10504	2151
830	10516	2138
831	10527	2125
832	10538	2112
833	10549	2099
834	10561	2086
835	10572	2073
836	10583	2061
837	10598	2048
838	10609	2035
839	10621	2023
840	10633	2010
841	10644	1997
842	10655	1984
843	10667	1971
844	10678	1958
845	10689	1945
846	10700	1932
847	10713	1920
848	10728	1908
849	10742	1895
850	10756	1883
851	10771	1871
852	10786	1858
853	10803	1846
854	10819	1834
855	10836	1822
856	10853	1811
857	10868	1798
858	10884	1786
859	10900	1774
860	10913	1761
861	10926	1749
862	10937	1736
863	10949	1723
864	10960	1710
865	10971	1697
866	10983	1684
867	10994	1671
868	11006	1659
869	11017	1646
870	11029	1633
871	11040	1620
872	11052	1607
873	11063	1595
874	11076	1582
875	11090	1569
876	11105	1557
877	11120	1545
878	11136	1533
879	11153	1520
880	11168	1508
881	11184	1496
882	11200	1484
883	11216	1471
884	11230	1459
885	11246	1447
886	11262	1434
887	11277	1422
888	11289	1409
889	11301	1396
890	11313	1384
891	11324	1371
892	11336	1358
893	11348	1345
894	11359	1332
895	11371	1319
896	11382	1307
897	11394	1294
898	11406	1281
899	11417	1268
900	11432	1256
901	11449	1243
902	11467	1231
903	11484	1219
904	11501	1207
905	11517	1194
906	11534	1182
907	11549	1170
908	11565	1157
909	11580	1145
910	11595	1132
911	11610	1120
912	11626	1107
